lon_range10,catchnum_N,catchlat_N,catchlat_N_std,catchnum_D,catchlat_D,catchlat_D_std,catchnum_J,catchlat_J,catchlat_J_std,catchnum_F,catchlat_F,catchlat_F_std,CMIP6lat_N,CMIP6lat_N_std,CMIP6lat_D,CMIP6lat_D_std,CMIP6lat_J,CMIP6lat_J_std,CMIP6lat_F,CMIP6lat_F_std
40 - 49,13,-55.166666666666664,0.38924947208076044,20,-61.01481481481111,1.7404913370698065,41,-63.35193798449535,1.376605408636376,22,-64.55312500000625,1.9862417400750598,-56.370568382475106,0.5239433735914641,-56.9279262390747,0.24707931299856134,-60.20826215214199,0.2414374453507239,-62.90521710978614,0.13228323396281888
50 - 59,11,-56.45454545454545,0.5222329678670942,5,-63.313333333319996,1.4707991025400653,24,-63.76833333333,0.6440210849718473,2,-64.5,0.7071067811865476,-57.165236197423305,0.19341344615681022,-58.11001603220452,0.4604914800474778,-60.47326825194889,0.09569223410449018,-62.32906657324897,0.17215154391747214
60 - 69,4,-54.5,4.358898943540673,23,-61.424358974357695,1.0668148935451387,6,-63.0,0.9999999999999998,1,-62.0,,-57.345228623241006,0.22687559040995253,-58.76074252128601,0.3633274872151747,-60.94646225505405,0.15936426764753697,-62.73774660958183,0.13647795958763903
70 - 79,51,-58.25,2.256248953608472,157,-60.75638297872341,1.3884210638001386,159,-62.46,0.9179395760760364,8,-64.5,1.3093073414159542,-55.073174969355264,1.0441932489060013,-55.82031935850779,0.9464116223719432,-58.791804265975955,0.8757417356170593,-60.90513756275177,0.7106446137023487
80 - 89,588,-57.85843920145191,0.9912877370675248,1265,-59.404761904761905,1.334330539759143,955,-61.75054945054955,1.3545755702728788,300,-62.557663896583655,0.8257430565029371,-54.1249442577362,0.3555813247646139,-54.75247713989681,0.6001494273741472,-58.03950663407644,0.31506854677165397,-59.51115686628553,0.24417699162726134
90 - 99,64,-58.342465753424655,1.1452702020119294,498,-60.44615384615385,1.1263974901274942,355,-61.51792763157895,1.3042894382152794,643,-62.42675296655874,0.878049255435701,-55.12230487976838,0.25569534224824425,-55.84601439899868,0.1292591638119391,-58.537118154101904,0.08647518928159091,-60.183318866623765,0.17427063350987856
100 - 109,99,-60.60173611111042,1.2439337696190258,384,-61.328804347826086,1.1802353641326921,173,-62.14473684210526,1.0698015829947323,84,-61.87755102040816,0.7255070945329821,-55.86586880270047,0.4156545707415768,-56.078076693753566,0.3725892993296954,-58.97441735797459,0.17081284863766452,-60.40362105899387,0.06915950323734242
110 - 119,21,-62.0,0.6708203932499365,90,-63.357142857142854,0.6722708174151638,108,-63.46153846153846,0.5438074068330563,90,-62.87777777777778,0.4699456764632113,-57.37515132050409,0.45344796156468575,-57.95973239659543,0.7561791296961591,-60.077827019161646,0.7565653276233832,-61.02907726764679,0.5835853689029397
120 - 129,0,,,18,-63.529411764705884,0.514495755427525,2,-65.0,0.0,27,-63.61538461538461,0.6733804983414353,-58.32974675602553,0.3669421521851276,-59.29225166544343,0.3680200865744651,-61.87858667373657,0.20228162328367366,-62.77363853965487,0.16524901409986995
130 - 139,0,,,11,-63.90909090909091,0.30151134457776474,0,,,13,,,-59.14143298229895,0.29821075222699994,-60.01632637598419,0.14574369726661135,-61.82676782608032,0.2223443177085601,-62.422272404602595,0.33082304889147085
140 - 149,4,-62.5,0.9999999999999993,22,-64.36818181817728,0.4083749279345439,0,,,0,,,-58.93030209173075,0.7838961006677335,-59.92654564539761,0.36056809262454187,-61.642752051353455,0.3211462143351039,-62.130287421933495,0.09709908838990114
150 - 159,33,-62.677777777757576,0.1535837327526543,1,-64.1333333333,,0,,,0,,,-58.394175946132236,0.23007656395398496,-59.28604496115113,0.17860353222977485,-61.19232625607215,0.11965010526221376,-62.3349422454834,0.4763846104811901
160 - 169,2,-64.0333333333,0.0,0,,,0,,,6,-68.7041666666625,0.1086533733902871,-59.575519826461786,0.3960729895884964,-59.92508645010376,0.5492756635641768,-62.16710679032813,0.2703036145775903,-63.61212261517843,0.36919086409239393
170 - 179,3,-64.0722222222,1.11109722215458,27,-65.6012345679,0.22593234774537027,288,-66.86782407407118,0.4061812032470722,103,-68.12013201320495,0.33402691867735934,-60.3090162057724,0.1845839253069293,-61.321448183059694,0.3058714519636364,-63.08209033698612,0.5190712373877324,-64.5662069357588,0.1823693249914943
